Region,City,City / neighborhood,The reference number of the deal,The date of the deal AD,Hijri date of the deal,Real estate classification,Real estate,The number of real estate,the price,Space
Riyadh region,Riyadh,Riyadh/Al -Raed,20051562,2023/05/30,11/11/1444,residential,piece of ground,1,"2,657,190,090","932,347.40"
Riyadh region,Riyadh,Riyadh/Al -Nazim,20207956,2023/06/19,01/12/1444,residential,piece of ground,1,"382,058,398","1,061,273.33"
Riyadh region,Riyadh,Riyadh/Al -Mulka,20078392,2023/06/01,11/12/1444,residential,piece of ground,4,"93,520,000","4,800.00"
Riyadh region,Riyadh,Riyadh/roses,20246182,2023/06/20,12/12/1444,residential,piece of ground,4,"81,640,539","3,380.00"
Riyadh region,Riyadh,Riyadh/Press,19712277,2023/04/05,1444/09/14,residential,piece of ground,2,"80,000,000","4,000.00"
Riyadh region,Riyadh,Riyadh/Hittin,19700654,2023/04/03,1244/12/1444,residential,piece of ground,6,"53,577,000","7,143.61"
Riyadh region,Riyadh,Riyadh/Press,19979815,2023/05/22,02/11/1444,residential,piece of ground,1,"52,000,000","6,390.00"
Riyadh region,Riyadh,Riyadh/Spring,20174144,2023/06/12,23/11/1444,residential,piece of ground,1,"51,240,000","12,810.00"
Riyadh region,Riyadh,Riyadh/Hittin,20005671,2023/05/23,03/11/1444,residential,piece of ground,8,"50,000,000","4,100.00"
Riyadh region,Riyadh,Riyadh/Spring,20174266,2023/06/12,23/11/1444,residential,piece of ground,1,"41,616,000","10,404.00"
Riyadh region,Riyadh,Riyadh/Spring,20174259,2023/06/12,23/11/1444,residential,piece of ground,1,"41,616,000","10,404.00"
Riyadh region,Riyadh,Riyadh/Spring,20174155,2023/06/12,23/11/1444,residential,piece of ground,1,"41,616,000","10,404.00"
Riyadh region,Riyadh,Riyadh/ race,19803510,2023/04/17,26/09/1444,residential,piece of ground,1,"38,000,000","10,000.00"
Riyadh region,Riyadh,Riyadh/Spring,20174227,2023/06/12,23/11/1444,residential,piece of ground,1,"35,700,000","8,925.00"
Riyadh region,Riyadh,Riyadh/Spring,20174245,2023/06/12,23/11/1444,residential,piece of ground,1,"34,680,000","8,670.00"
Riyadh region,Riyadh,Riyadh/Al -Ghadeer,20244758,2023/06/20,12/12/1444,residential,piece of ground,1,"33,600,000","5,600.00"
Riyadh region,Riyadh,Riyadh/Spring,20135810,2023/06/07,11/18/1444,residential,piece of ground,1,"33,005,840","8,251.46"
Riyadh region,Riyadh,Riyadh/Narcissus,19969084,2023/05/18,10/28/1444,residential,piece of ground,14,"32,562,107","8,306.66"
Riyadh region,Riyadh,Riyadh/Spring,20135817,2023/06/07,11/18/1444,residential,piece of ground,1,"30,500,000","7,625.00"
Riyadh region,Riyadh,Riyadh/Press,20045133,2023/05/29,09/11/1444,residential,piece of ground,1,"30,000,000","1,875.00"
Riyadh region,Riyadh,Riyadh/ race,19944300,2023/05/16,10/26/1444,residential,piece of ground,1,"27,000,000","9,504.75"
Riyadh region,Riyadh,Riyadh/Al -Hada,19726816,04/04/04/06,09/15/1444,residential,piece of ground,1,"27,000,000","6,567.28"
Riyadh region,Riyadh,Riyadh/ race,19842950,2023/05/03,13/10/1444,residential,piece of ground,1,"26,906,633","9,784.23"
Riyadh region,Riyadh,Riyadh/Spring,20174111,2023/06/12,23/11/1444,residential,piece of ground,1,"24,544,000","6,136.00"
Riyadh region,Riyadh,Riyadh/Spring,20174199,2023/06/12,23/11/1444,residential,piece of ground,1,"24,480,000","6,120.00"
Riyadh region,Riyadh,Riyadh/Hittin,20022700,2023/05/25,05/11/1444,residential,piece of ground,1,"24,000,000","1,950.00"
Riyadh region,Riyadh,Riyadh/Other,19713244,2023/04/05,1444/09/14,residential,piece of ground,1,"24,000,000","2,500.00"
Riyadh region,Riyadh,Riyadh/Spring,20135747,2023/06/07,11/18/1444,residential,piece of ground,1,"23,600,000","5,900.00"
Riyadh region,Riyadh,Riyadh/Olaya,20145405,2023/06/08,19/11/1444,residential,piece of ground,13,"23,162,130","6,624.00"
Riyadh region,Riyadh,Riyadh/Taiba,20175786,2023/06/13,24/11/1444,residential,piece of ground,22,"22,330,242","24,811.38"
Riyadh region,Riyadh,Riyadh/prosperity,20095371,2023/06/04,15/15/1444,residential,piece of ground,8,"21,879,225","4,752.00"
Riyadh region,Riyadh,Riyadh/Press,19776676,2023/04/13,09/22/1444,residential,piece of ground,2,"21,300,000","1,500.00"
Riyadh region,Riyadh,Riyadh/Al -Ghadeer,19932637,2023/05/15,10/10/1444,residential,piece of ground,2,"20,000,000","1,850.00"
Riyadh region,Riyadh,Riyadh/Narcissus,19771777,2023/04/12,09/21/1444,residential,piece of ground,1,"19,711,888","3,519.98"
Riyadh region,Riyadh,Riyadh/Spring,20174201,2023/06/12,23/11/1444,residential,piece of ground,1,"19,344,000","4,836.00"
Riyadh region,Riyadh,Riyadh/Olaya,19898869,2023/05/10,10/20/1444,residential,piece of ground,1,"19,000,000","1,120.00"
Riyadh region,Riyadh,Riyadh/Spring,20174157,2023/06/12,23/11/1444,residential,piece of ground,1,"18,972,000","4,743.00"
Riyadh region,Riyadh,Riyadh/Spring,20174138,2023/06/12,23/11/1444,residential,piece of ground,1,"18,972,000","4,743.00"
Riyadh region,Riyadh,Riyadh/Spring,20135764,2023/06/07,11/18/1444,residential,piece of ground,1,"18,600,000","4,650.00"
Riyadh region,Riyadh,Riyadh/Al -Mulka,19849836,04/05/2023,1444/10/1444,residential,piece of ground,1,"18,558,800","2,319.85"
Riyadh region,Riyadh,Riyadh/Jasmine,20146016,2023/06/11,11/22/1444,residential,piece of ground,1,"18,536,175","1,373.05"
Riyadh region,Riyadh,Riyadh/Jasmine,19795413,2023/04/16,09/25/1444,residential,piece of ground,1,"18,509,316","1,322.09"
Riyadh region,Riyadh,Riyadh/Narcissus,19771518,2023/04/12,09/21/1444,residential,piece of ground,1,"18,193,224","3,236.28"
Riyadh region,Riyadh,Riyadh/Jasmine,19795151,2023/04/16,09/25/1444,residential,piece of ground,1,"17,774,078","1,269.58"
Riyadh region,Riyadh,Riyadh/Narcissus,19771667,2023/04/12,09/21/1444,residential,piece of ground,1,"17,668,112","3,142.52"
Riyadh region,Riyadh,Riyadh/Hittin,19953631,2023/05/17,10/27/1444,residential,piece of ground,1,"17,500,000","1,250.00"
Riyadh region,Riyadh,Riyadh/Press,20187818,2023/06/14,11/11/1444,residential,piece of ground,1,"16,200,000",900.00
Riyadh region,Riyadh,Riyadh/Hittin,20035697,2023/05/28,08/11/1444,residential,piece of ground,1,"16,133,000","2,210.00"
Riyadh region,Riyadh,Riyadh/Al -Hamra,20164893,2023/06/11,11/22/1444,residential,piece of ground,1,"16,000,000","11,000.00"
Riyadh region,Riyadh,Riyadh/Olaya,20204184,2023/06/18,29/11/1444,residential,piece of ground,1,"15,876,000","1,512.00"
Riyadh region,Riyadh,Riyadh/Hittin,20096343,2023/06/04,15/15/1444,residential,piece of ground,2,"15,477,800","2,381.20"
Riyadh region,Riyadh,Riyadh/ Umm Al -Hamam Al -Gharbi,20005548,2023/05/23,03/11/1444,residential,piece of ground,6,"15,325,400","3,887.00"
Riyadh region,Riyadh,Riyadh/Sand,20206821,2023/06/19,01/12/1444,residential,piece of ground,1,"15,000,000","10,500.00"
Riyadh region,Riyadh,Riyadh/Press,20056481,2023/05/30,11/11/1444,residential,piece of ground,1,"15,000,000",810.00
Riyadh region,Riyadh,Riyadh/Press,19931608,2023/05/15,10/10/1444,residential,piece of ground,1,"15,000,000",810.00
Riyadh region,Riyadh,Riyadh/Al -Aqiq,19818167,2023/04/27,10/1044/1444,residential,piece of ground,1,"15,000,000",900.00
Riyadh region,Riyadh,Riyadh/Work,19746759,04/04/04,09/18/1444,residential,piece of ground,5,"15,000,000","2,298.30"
Riyadh region,Riyadh,Riyadh/Jasmine,19795225,2023/04/16,09/25/1444,residential,piece of ground,1,"14,700,000","1,050.00"
Riyadh region,Riyadh,Riyadh/Jasmine,20145770,2023/06/11,11/22/1444,residential,piece of ground,1,"14,528,052","1,076.15"
